ACCT-001,"We could not find account %d in this EDM."
POL-521,"Database error occurred while creating policy coverage for Policy Id: %d"
POL-522,"Database error occurred while updating Policy Coverage Id: %d for Policy Id: %d"
POL-523,"Database error occurred while deleting Policy Coverage Id: %d"
POL-524,"Database error occurred while checking if Policy Reinsurance Cession Id: %d exists for Policy Id: %d"
POL-525,"Database error occurred while retrieving policy reinsurance cessions for Policy Id: %d"
POL-526,"Database error occurred while retrieving Policy Reinsurance Cession Id: %d for Policy Id: %d"
POL-527,"Database error occurred while creating policy reinsurance cession for Policy Id: %d"
POL-528,"Database error occurred while updating Policy Reinsurance Id: %d for Policy Id: %d"
POL-529,"Database error occurred while deleting Policy Reinsurance Id: %d for Policy Id: %d"
POL-530,"Database error occurred while checking if Policy Condition  Id: %d exists for Policy Id: %d"
POL-531,"Database error occurred while checking if Policy Condition  Id: %d exists"
POL-532,"Database error occurred while retrieving policy conditions for Policy Id: %d"
POL-533,"Database error occurred while retrieving Policy Condition  Id: %d"
POL-534,"Database error occurred while creating policy condition  for Policy Id: %d"
POL-535,"Database error occurred while updating Policy Condition Id: %d for Policy Id: %d"
POL-536,"Database error occurred while deleting Policy Condition Id: %d"
POL-537,"Database error occurred while checking if Policy Condition Criteria  Id: %d exists for Condition Id: %d"
POL-538,"Database error occurred while retrieving policy condition criterias for Condition Id: %d"
POL-539,"Database error occurred while retrieving Policy Condition Criteria  Id: %d for Condition Id: %d"
POL-540,"Database error occurred while retrieving condition criteria list by Condition Id: %d"
POL-541,"Database error occurred while creating policy condition criteria  for Condition Id: %d"
POL-542,"Database error occurred while updating Policy Condition Criteria Id: %d for Condition Id: %d"
POL-543,"Database error occurred while deleting Policy Condition Criteria Id: %d for Condition Id: %d"
POL-544,"Database error occurred while getting Policy Condition count for Policy Id: %d for Condition type: %d"
POL-545,"Error occurred. Only one Policy Restriction allowed per policy for Policy Id: %d"
POL-546,"Database error occurred while checking condition name: %s is unique for Policy Id: %d"
POL-547,"The condition names must be unique within each policy"
POL-548,"Condition can't have parent condition which is child of another condition"
POL-549,"Database error occurred while getting list of Policy Conditions for Account Id: %d"
POL-550,"Database error occurred while back filling Policy Conditions for Condition Id: %d"
POL-551,"%s"
POL-552,"Invalid input. Account does not exist"
POL-553,"Invalid input. Line of business does not exist"
POL-554,"Database error occurred while retrieving Policy Conditions list"
PORT-001,"We could not find portfolio %d in this EDM."
PORT-004,"No geocoded locations exist in portfolio with id %d and number %s. Geocode this portfolio before you run an analysis."
PORT-401,"Select at least one account to add to or remove from the portfolio."
PORT-404,"%s"
PORT-500,"Sorry, we encountered an error retrieving portfolio %d. Try again, and contact Support if this still does not work."
PORT-501,"Sorry, we encountered an error checking if portfolio %d exists. Try again, and contact Support if this still does not work."
PORT-502,"Sorry, we encountered an error creating this portfolio. Try again, and contact Support if this still does not work."
PORT-504,"Sorry, we encountered an error retrieving information about portfolio %d. Try again, and contact Support if this still does not work."
PORT-505,"Sorry, we encountered an error deleting portfolio %d. Try again, and contact Support if this still does not work."
PORT-506,"Sorry, we encountered an error saving the changes for portfolio %d. Try again, and contact Support if this still does not work."
PORT-508,"Sorry, we encountered an error copying portfolio %d. Try again, and contact Support if this still does not work."
PORT-511,"Sorry, we encountered an error searching for portfolios. Try again, and contact Support if this still does not work."
PORT-512,"Database error occurred while fetching number of exposures for exposure type: PORTFOLIO."
PORT-514,"Sorry, we encountered an error retrieving geocoding information for one or more locations in portfolio %d. Try again, and contact Support if this still does not work."
PORT-515,"Sorry, we encountered an error retrieving total number of accounts in portfolio %d. Try again, and contact Support if this still does not work."
PORT-534,"Geocode Portfolio failed for Portfolio Id: %d."
PORT-539,"Database error occurred while managing accounts to Portfolio Id: %d"
PORT-540,"You cannot add and remove the same account for portfolio: %d."
PORT-541,"Sorry, we encountered an error searching accounts for portfolio %d. Try again, and contact Support if this still does not work."
PORT-542,"Sorry, we encountered an error converting currencies for portfolio %d. Try again, and contact Support if this still does not work."
PORT-543,"More than one location in portfolio %d has latitude %f and longitude %f. Two locations in a portfolio cannot have the same coordinates."
PORT-544,"No locations in portfolio %d have latitude %f and longitude %f. Check the coordinates or regeocode the portfolio."
PORT-546,"Peril code %s is not supported for the Exposure Summary report. Select a supported peril."
PORT-547,"Hazard name %s is not supported for the Exposure Summary report. Select a supported hazard."
PORT-548,"You cannot analyze a portfolio with more than 1M accounts if the output profile specifies loss table output at the contract granularity."
PRO-001,"Invalid value: %s, passed for category parameter"
PRO-500,"Database Error occurred while retrieving model profiles"
PRO-501,"Error occurred while retrieving service information for driver: %s"
PRODUCER-401,"Database error occurred, producer does not exists"
PRODUCER-404,"%s"
PRODUCER-406,"%s"
PRODUCER-409,"%s"
PRODUCER-501,"Database error occurred while loading producers, reason : %s"
PRODUCER-502,"Database error occurred while creating producer, reason : %s"
PRODUCER-503,"Database error occurred while updating producer with Id: %s, reason : %s"
PRODUCER-504,"Database error occurred while deleting producer with Id: %s, reason : %s"
PRODUCER-505,"Database error occurred duplicate producer, producer already exists"
PRODUCER-506,"Validation error, producer id cannot be null or empty."
PRODUCER-508,"Validation error, producer, some of the String field has exceeded allowed length."
PROFILE-001,"Profile not found"
PROFILE-002,"Profile type not implemented"
PROFILE-003,"Illegal Argument"
PROFILE-004,"Unsupported Operation"
PROFILE-501,"Failed to get profile type"
PUMA-501,"Error getting user information"
PUMA-502,"Error creating user token"
RCV-001,"Invalid operator: '%s'"
REINS_CESSION-001,"Layer Number should be between 1 and 99"
REINS_CESSION-002,"Priority should be between 1 and 127"
RENAME-001,"Attempt to acquire lock failed. Lock has been acquired by a different process."
RENAME-002,"We cannot process this job because a job on this result is already running."
RENAME-003,"Sorry, we encountered an error while running rename-analysis. Try again, and contact Support at support@rms.com if this still does not work."
RENAME-004,"Invalid argument for %s"
RENAME-005,"Sorry, the new analysis name format is invalid"
RERUN-EP-001,"Invalid argument for %s"
RERUN-EP-002,"Unable to retrieve metadata for %s"
RERUN-EP-003,"Sorry, you can recalculate EP metrics on %s engine type(s) only. Enter a non-HD or non-simulated DLM analysis ID"
RERUN-EP-004,"Unsupported analysis type. Rerun Ep is only supported on %s analysis type(s)"
RERUN-EP-005,"Sorry, we encountered an error while submitting the rerun Ep job. Try again, and contact Support if this still does not work."
RETENTION-501,""Database error occurred while creating data retention""
RETENTION-502,""Database error occurred while retrieving expired data retentions""
RETENTION-503,""Database error occurred while archiving data retention""
S2S-001,"Missing S2S token"
SERVER_INFO-500,"Failed to find the requested server info"
SERVER_INFO-501,"Failed to insert new server info record"
SERVER_INFO-502,"Failed to update server info record"
SERVER_INFO-503,"Failed to find server info records for tenant"
SERVER_INFO-504,"Failed to find server info records for tenant namespace %s"
SERVER_INFO-505,"Failed to delete server info record"
SERVER_INFO-506,"The server name %s that you provided doesn't match an existing server name. Check the server name for misspellings and try again."
SERVER_UPGRADE-001,"Sorry, we encountered an error while retrieving server upgrades. Try again, and contact Support at support@rms.com if this still does not work."
SERVER_UPGRADE-002,"Sorry, we encountered an error while inserting server upgrades. Try again, and contact Support at support@rms.com if this still does not work."
SERVER_UPGRADE-003,"Sorry, we encountered an error while updating server upgrades. Try again, and contact Support at support@rms.com if this still does not work."
SERVER_UPGRADE-004,"Sorry, we encountered an error while deleting server upgrades. Try again, and contact Support at support@rms.com if this still does not work."
SETUP-500,"Failed to read from setup jobs table."
SETUP-501,"Failed to insert data into setup jobs table."
SIMULATE-LOSSES-001,"We encountered an error retrieving the simulation set with id %d. Try again. If this still doesn't work, contact Support."
SIMULATE-LOSSES-002,"Sorry, we encountered an error while simulating ELT to PLT for this analysis. Try again, and contact Support if this still does not work."
SIMULATE-LOSSES-003,"You cannot simulate these ELT-based results to a PLT because the analysis type is invalid. The results must be for individual (not group), DLM, portfolio-level, EP analyses."
SIMULATE-LOSSES-004,"You cannot simulate these results from ELT- to PLT-based results because these results have already been simulated to a PLT."
SIMULATE-LOSSES-005,"Enter a valid value greater than zero for the event rate scheme id for the selected DLM analysis."
SIMULATE-LOSSES-006,"Enter a valid value greater than zero for the simulation set id for the selected DLM analysis."
SIMULATE-LOSSES-007,"Enter a valid value greater than zero for the simulation periods for the selected DLM analysis."
SIMULATE-LOSSES-008,"You have entered an invalid simulation set ID for the peril model region. See the Simulation Set table in Risk Modeler Reference Data for a list of valid IDs."
SMTP-500,"SMTP host was not found"
SMTP-501,"SMTP port was not found"
SMTP-502,"Invalid SMTP credentials"
SQLPOOL-001,"Sql Pool service returned an error while registering server: %s"
SQLPOOL-002,"Sql Pool service returned an error while retrieving the list of registered servers: %s"
SQLPOOL-003,"Sql Pool service returned an error while reserving the server: %s"
SQLPOOL-004,"Unsupported Server Type: %s"
STEPPOL-000,"Sorry, looks like something might be wrong at our end. Try this again, and if it still doesn't work, contact Support at support.rms.com."
STEPPOL-001,"Step Policy Effective date must be less than Step Policy Expiration Date."
STEPPOL-002,"Step Policy %d was not found"
STEPPOL-003,"Parent Account Id: %d was not found for Step Policy Id: %d"
STEPPOL-004,"User does not have sufficient permissions on Step Policy Id: %d"
STEPPOL-404,"%s"
STEPPOL-406,"%s"
STEPPOL-409,"%s"
STEPPOL-500,"Database error occurred while updating Step Policy Id: %d"
STEPPOL-501,"Database error occurred while creating Step Policy"
STEPPOL-502,"Database error occurred while retrieving Step Policy Id: %d"
STEPPOL-503,"Database error occurred while loading parent account information for Step Policy Id: %d"
STEPPOL-504,"Database error occurred while deleting Step Policy Id: %d"
STEPPOL-505,"Database error occurred while searching policies"
STEPPOL-506,"Database error occurred while copying Step Policy Id: %d"
STOREMANAGER-001,"Record not found for type: %s and Identifier: %s"
SUBMITJOB-500,"Submit job failed. Error: %s"
TENANT-001,"Could not parse URL, reason %s"
TENANT-002,"Tenant file was not found"
TENANT-003,"Tenant file cannot be read"
TENANT-004,"Tenant id in the request does not match with the token details"
TENANT-005,"Database error occurred while retrieving RDM names"
TENANT-006,"The key %s does not have correct db properties format"
TENANT-007,"The key %s already exists in the database"
TENANT-008,"The property(s) are missing the primary key"
TENANT-009,"The EDM db already exists"
TENANT-011,"Invalid EDM database type"
TENANT-012,"Database error occurred while adding edm db properties"
TENANT-013,"The tenant edm keys do not match"
TENANT-014,"The sql server db should have this format %s"
TENANT-015,"Database error occurred while retrieving tenant database information for tenant id %s"
TENANT-016,"Database credentials cannot be null or empty"
TENANT-017,"Given destination database credentials are invalid. Could not connect to the database."
TENANT-018,"Given source database credentials do not match with system's database credentials"
TENANT-019,"Source and destination database servers cannot be same"
TENANT-020,"This feature is not enabled for your organization: %s. Contact your RMS Account Manager about enabling this."
TENANT-021,"This feature is not supported for tenants with UDS support enabled."
TENANT-022,"RDS server %s already exists"
TENANT-023,"DB server migration allowed only between RDS server"
TENANT_PROV-501,"Database error occurred while searching for tenant"
TENANT_PROV-502,"Database error occurred while updating provision status"
TENANT_PROV-503,"Database error occurred while inserting provision status"
TREATIES-501,"Failed to save treaties"
TREATY-001,"Treaty with Id: %d was not found"
TREATY-002,"Treaty with Id: %d and Line of business with Id:%d was not found"
TREATY-401,"Treaty Effective date cannot be null or empty"
TREATY-402,"Treaty Expire date cannot be null or empty"
TREATY-403,"Invalid treaty effective date format. Expected: yyyy-MM-ddTHH:mm:ssZ"
TREATY-404,"Invalid treaty expire date format. Expected: yyyy-MM-ddTHH:mm:ssZ"
TREATY-405,"Treaty expiry date cannot be before effective date"
TREATY-406,"An hours clause is required before you add a radius clause"
TREATY-407,"%s"
TREATY-408,"%s"
TREATY-409,"%s"
TREATY-410,"Some of the selected treaties are not applicable to the given exposure. Please select applicable treaties and try again."
TREATY-411,"Aggregate Limit and Aggregate Deductible are not applicable for non-portfolio treaties."
TREATY-500,"Database error occurred while checking loading treaties for Exposure type:%s and Treaty type:%s"
TREATY-501,"Database error occurred while loading treaty with treatyId: %d"
TREATY-502,"Database error occurred while checking loading policy level treaties for Account Id:%d and Policy Id:%d"
TREATY-503,"Database error occurred while checking loading location level treaties for Account Id:%d"
TREATY-504,"Database error occurred while creating new treaty with name: %s"
TREATY-505,"Database error occurred while updating treaty with treatyId: %d"
TREATY-506,"Database error occurred while deleting treaty with treatyId: %d"
TREATY-507,"Database error occurred while searching treaties with optional filters"
TREATY-508,"Database error occurred while saving treaty lob with Treaty Id: %d"
TREATY-509,"Database error occurred while deleting treaty lob with Treaty Id: %d"
TREATY-510,"Database error occurred while get treaty lob with Treaty Id: %d"
TREATY-511,"Database error occurred while checking if Treaty Id: %d exists"
TREATY-512,"Database error occurred while checking if Treaty Id: %d and Line of business with Id: %d exists"
TREATY-513,"Treaty with Id: %d and Line of business with Id:%d already exists"
TREATY-514,"Database error occurred duplicate Treaty, Treaty already exists"
TREATY-515,"Database error occurred while creating Treaty with Id: %s, reason : Cedant with Id:%s was not found"
TREATY-516,"Database error occurred while creating Treaty with Id: %s, reason : Producer with Id:%s was not found"
TREATY-517,"Database error occurred while converting currency of treaty with Id: %d"
TREATY-518,"Invalid Treaty Number"
TREATY-519,"Covered Percentage must be between 0 and 100"
TREATY-520,"Placed Percentage must be between 0 and 100"
TREATY-521,"Share Percentage must be between 0 and 100"
TREATY-522,"Retention Percentage must be between 0 and 100"
TREATY-523,"Reinstatement Charge Percentage must be between 0 and 1000"
TREATY-524,"Per Risk Limit must be a positive number"
TREATY-525,"Occurrence Limit must be a positive number"
TREATY-526,"Attachment Point must be a positive number"
TREATY-527,"Premium must be a positive number"
TREATY-528,"Number of Reinstatements must be between 0 and 99"
TREATY-529,"Invalid Treaty Type"
TREATY-530,"Inuring Priority must be between 1 and 127"
TREATY-531,"Invalid Attachment Basis"
TREATY-532,"Invalid Exposure Level"
TREATY-533,"Invalid Exposure Level for Quota Share treaty type"
TREATY-534,"Invalid Exposure Level for Working Excess treaty type"
TREATY-535,"Invalid Exposure Level for Surplus Share treaty type"
TREATY-536,"Invalid Treaty Name"
TREATY-537,"Database error occurred while getting all treaty lobs"
TREATY-538,"Occurrence Limit must be greater than zero"
TREATY-539,"%s"
TREATY-540,"Error occurred while inserting a rdm treaty mapping data for id %d"
TREATY-541,"Error occurred while fetching the edm treaty id mapping data for id %d"
TREATY-542,"Database error occurred while loading next Treaty Id"
TREATY-543,"Database error occurred while checking if Treaty Number: %s exists"
TREATY-544,"Database error occurred while checking if Treaty with Id: %d and Number: %s exists"
TREATY-545,"Error occurred because the cat treaty: %d does not exist"
TREATY-546,"Aggregate Deductible must be greater than or equal to zero"
TREATY-547,"Aggregate Limit must be greater than or equal to zero"
TREATY-548,"Sorry, we encountered an error copying treaty with treatyId: %d. Try again, and contact Support if this still does not work."
TREATY-549,"Sorry, we encountered an error getting list of loss occurrences for treatyId: %d. Try again, and contact Support if this still does not work."
TREATY-550,"Sorry, we encountered an error getting loss occurrence with Id: %d for treaty with treatyId: %d. Try again, and contact Support if this still does not work."
TREATY-551,"Sorry, we encountered an error inserting loss occurrence for treatyId: %d. Try again, and contact Support if this still does not work."
TREATY-552,"Sorry, we encountered an error updating loss occurrence with Id: %d for treaty with treatyId: %d. Try again, and contact Support if this still does not work."
TREATY-553,"Sorry, we encountered an error deleting loss occurrence with Id: %d. Try again, and contact Support if this still does not work."
TREATY-554,"Sorry, we encountered an error getting treaties for analysis. Try again, and contact Support if this still does not work."
TREATY-555,"Inuring Priority must be 1 or 2"
TREATY-556,"Sorry, we encountered an error getting treaties for aggregate portfolio id: %d. Try again, and contact Support if this still does not work."
TREATY-557,"Database error occurred while checking if treaties are present for analysis Id(s): %s"
TREATY-558,"Sorry, we encountered a database error while inserting the LOB(s) of treaties for treaty Id: %d"
TREATY-559,"Sorry, we encountered a database error while fetching the LOB(s) for treaty Id: %d"
TREATY-560,"Database error occurred while fetching number of exposures for exposure type: TREATY."
UNDERWRITER-401,"Database error occurred, underwriter does not exist"
UNDERWRITER-402,"Database error occurred while loading underwriters, reason : %s"
UNDERWRITER-404,"%s"
UNDERWRITER-406,"%s"
UNDERWRITER-409,"%s"
UNDERWRITER-502,"Database error occurred while creating underwriter, reason : %s"
UNDERWRITER-503,"Database error occurred while updating underwriter with Id: %d, reason : %s"
UNDERWRITER-504,"Database error occurred while deleting underwriter with Id: %d, reason : %s"
UNDERWRITER-505,"Database error occurred duplicate underwriter, underwriter already exists"
UNDERWRITER-508,"Validation error, underwriter, the name field has exceeded allowed length."
UNDERWRITER-509,"Database error occurred while checking if underwriter exists : reason %s"
UNIFIED-DATA-STORE-001,"Database error occurred: %s"
UNIFIED-DATA-STORE-002,"Failed to create database. %s. Try again, and contact Support at support@rms.com if this still doesn't work."
UNIFIED-DATA-STORE-003,"Failed to restore database. %s. Try again, and contact Support at support@rms.com if this still doesn't work."
UNIFIED-DATA-STORE-004,"Failed to delete database. %s. Try again, and contact Support at support@rms.com if this still doesn't work."
UNIFIED-DATA-STORE-005,"Failed to attach database. %s. Try again, and contact Support at support@rms.com if this still doesn't work."
UNIFIED-DATA-STORE-006,"Failed to backup database. %s. Try again, and contact Support at support@rms.com if this still doesn't work."
UPLOAD-001,"Could not parse URL, reason %s"
UPLOAD-002,"ImportSource could not be found upload Id: %s"
UPLOAD-003,"Data source name already exists"
UPLOAD-004,"MDF File upload operation not permitted on RDS DB Store"
UPLOAD-005,"Upload id %s is not valid. It should be in UUID format."
UTIL-502,"An error occurred converting the object"
VER-001,"Database error occurred while retrieving version, reason : %s"
WORKERSCOMP-401,"Database error occurred, injury cost scheme does not exists"
WORKERSCOMP-502,"Database error occurred while saving injury cost scheme for database with Id: %d"
WORKFLOW-501,"Workflow service returned an error while submitting Workflow Id: %s, reason : %s"
WORKFLOW-502,"Workflow service returned an error while submitting workflow: %s"
WORKFLOW-503,"Failed to get status for Workflow Id: %s"
WORKFLOW-504,"Failed to get detail for Workflow Id: %s"
WORKFLOW-505,"Failed to save result for Workflow Id: %s"
WORKFLOW-506,"Failed to cancel Workflow Id: %s"
WORKFLOW-507,"Failed to get list of workflows"
WORKFLOW-508,"Invalid date format: %s"
WORKFLOW-509,"Invalid status parameter: %s"
WORKFLOW-510,"Invalid workflow type parameter: %s"
WORKFLOW-511,"Invalid workflow id: %s"
WORKFLOW-512,"Invalid sort attributes: %s"
WORKFLOW-513,"Invalid date, from date cannot be greater than to date"
WORKFLOW-514,"Failed to get the list of users: %s"
WORKFLOW-515,"Status for workflow id %s is %s. You cannot cancel a job with this status."
WORKFLOW-516,"Failed to get tenant queues"
WORKFLOW-517,"Failed to create tenant queue"
WORKFLOW-518,"Sorry, we encountered an error trying to get the workflow. Try again, and contact Support if this still does not work."
WORKFLOW-519,"Sorry, we encountered an error trying to get the job. Try again, and contact Support if this still does not work."
WORKFLOW-520,"No workflow exists for client id: %s"
